CharCode,Nominal,Name,Value
AUD,1,Австралийский доллар,"56,0788"
AZN,1,Азербайджанский манат,"47,7319"
DZD,100,Алжирских динаров,"61,0220"
GBP,1,Фунт стерлингов,"108,3358"
AMD,100,Армянских драмов,"21,5134"
BHD,1,Бахрейнский динар,"215,7627"
BYN,1,Белорусский рубль,"27,4739"
BOB,1,Боливиано,"11,7430"
BRL,1,Бразильский реал,"15,5137"
HUF,100,Форинтов,"24,0186"
VND,10000,Донгов,"32,3284"
HKD,1,Гонконгский доллар,"10,3765"
GEL,1,Лари,"29,9802"
DKK,1,Датская крона,"12,5312"
AED,1,Дирхам ОАЭ,"22,0951"
USD,1,Доллар США,"81,1443"
EUR,1,Евро,"93,4247"
EGP,10,Египетских фунтов,"15,3626"
INR,100,Индийских рупий,"85,7773"
IDR,10000,Рупий,"48,0059"
IRR,1000000,Иранских риалов,"58,8139"
KZT,100,Тенге,"16,8409"
CAD,1,Канадский доллар,"58,6133"
QAR,1,Катарский риал,"22,2924"
KGS,100,Сомов,"92,7894"
CNY,1,Юань,"11,7301"
CUP,10,Кубинских песо,"33,8101"
MDL,10,Молдавских леев,"46,1850"
MNT,1000,Тугриков,"22,7417"
NGN,1000,Найр,"58,6352"
NZD,1,Новозеландский доллар,"46,7107"
NOK,10,Норвежских крон,"84,1528"
OMR,1,Оманский риал,"210,7977"
PLN,1,Злотый,"21,8095"
SAR,1,Саудовский риял,"21,6385"
RON,1,Румынский лей,"18,3269"
XDR,1,СДР (специальные права заимствования),"110,3408"
SGD,1,Сингапурский доллар,"63,1277"
TJS,10,Сомони,"85,0685"
THB,10,Батов,"24,6827"
BDT,100,Так,"66,0669"
TRY,10,Турецких лир,"18,3076"
TMT,1,Новый туркменский манат,"23,1841"
UZS,10000,Узбекских сумов,"66,5363"
UAH,10,Гривен,"18,4902"
CZK,10,Чешских крон,"38,2612"
SEK,10,Шведских крон,"86,3728"
CHF,1,Швейцарский франк,"101,7611"
ETB,100,Эфиопских быров,"51,8673"
RSD,100,Сербских динаров,"79,7622"
ZAR,10,Рэндов,"47,3691"
KRW,1000,Вон,"53,8735"
JPY,100,Иен,"50,8646"
MMK,1000,Кьятов,"38,6401"
